address,latitude,longitude
East River Rd,41.966794,-87.846567
East River Rd,41.982087,-87.846432
Cicero Ave,41.986165,-87.748308
Lincoln  Ave,41.982351,-87.693821
Ashland Ave,42.004104,-87.670556
Leigh Ave,42.010697,-87.772707
Milwaukee Ave,41.995915,-87.786522
State St,41.836451,-87.626742
Kedzie Ave,41.872254,-87.705864
Central Park Ave,41.895238,-87.716306
Pulaski Rd,41.872493,-87.725399
Homan Ave,41.876095,-87.710846
Damen Ave,41.884983,-87.676739
Desplaines St,41.891012,-87.644365
Sacramento Ave,41.893745,-87.70215
Western Ave,41.909315,-87.687195
Milwaukee Ave,41.90238,-87.66496
Fairbanks Ct,41.896368,-87.620359
Clark St,41.902199,-87.631399
Pulaski Rd,41.806868,-87.723555
California Ave,41.836927,-87.695017
Lawrence Ave,41.96912,-87.652496
Longwood Dr,41.690212,-87.672221
Irving Park Rd,41.954295,-87.668734
Congress Pkwy,41.875633,-87.628433
Division St,41.90393,-87.629506
Grand Ave,41.891671,-87.628113
119th St,41.678058,-87.620552
Division St,41.903955,-87.627809
130th St,41.659181,-87.568276
Clark St,41.876698,-87.630742
California Ave,41.876736,-87.696174
107th St,41.699481,-87.656564
115th St,41.684661,-87.670012
122nd St,41.673764,-87.560855
119th St,41.677257,-87.680696
115th St,41.684228,-87.702778
63rd St,41.777656,-87.782528
59th St,41.785928,-87.723856
Pershing Rd,41.822852,-87.691118
26th St,41.844102,-87.735004
Cermak Rd,41.851522,-87.726497
Armitage Ave,41.917529,-87.692627
Irving Park Rd,41.954273,-87.670146
Irving Park Rd,41.954006,-87.689792
Lawrence Ave,41.968013,-87.748871
Higgins Rd,41.988761,-87.854842
Foster Ave,41.97567,-87.715464
Caldwell Ave,41.991514,-87.754317
31st St,41.838279,-87.628571
Madison St,41.880707,-87.727098
Division St,41.902909,-87.698743
Augusta Blvd,41.899355,-87.689356
